Date, Open, Close/Last, Volume, High, Low
4/23/2012,81.52,81.6714,241398292,$82.38 ,$79.52 
4/24/2012,80.37,80.04,263552249,$81.10 ,$79.29 
4/25/2012,87.95,87.1428,225862488,$88.29 ,$86.57 
4/26/2012,87.75,86.8143,133588810,$87.81 ,$86.02 
4/27/2012,86.44,86.1428,101533910,$86.60 ,$85.79 
4/30/2012,85.4,83.4257,126321688,$85.49 ,$83.29 
5/1/2012,83.56,83.1614,152492176,$85.25 ,$83.03 
5/2/2012,82.89,83.7114,106750312,$83.91 ,$82.69 
5/3/2012,84.36,83.1171,97380669,$84.49 ,$82.90 
5/4/2012,82.44,80.75,132304520,$82.62 ,$80.74 
5/7/2012,80.21,81.3543,114959564,$81.82 ,$80.18 
5/8/2012,81.37,81.1685,124080357,$81.64 ,$79.82 
5/9/2012,80.53,81.3114,120022806,$82.00 ,$80.12 
5/10/2012,82.08,81.5028,83026395,$82.27 ,$81.21 
5/11/2012,80.71,80.9585,99653570,$82.07 ,$80.62 
5/14/2012,80.37,79.7457,87975396,$81.07 ,$79.66 
5/15/2012,80.21,79.0243,118859546,$80.46 ,$78.82 
5/16/2012,79.15,78.0107,139914782,$79.56 ,$77.29 
5/17/2012,77.9,75.7314,178603164,$78.21 ,$75.73 
5/18/2012,76.28,75.7685,182773345,$77.63 ,$74.60 
5/21/2012,76.36,80.1828,157250007,$80.22 ,$76.29 
5/22/2012,81.36,79.5671,173417772,$81.98 ,$78.94 
5/23/2012,79.64,81.5085,145594164,$81.83 ,$79.03 
5/24/2012,82.27,80.76,123856147,$82.36 ,$80.18 
5/25/2012,80.66,80.3271,81958125,$80.84 ,$79.78 
5/29/2012,81.56,81.7528,94973228,$82 ,$80.76 
5/30/2012,81.31,82.7385,132188320,$82.86 ,$80.94 
5/31/2012,82.96,82.5328,122817347,$83.07 ,$81.64 
6/1/2012,81.31,80.1414,130080689,$81.81 ,$80.07 
6/4/2012,80.21,80.6128,138991972,$81.07 ,$78.36 
6/5/2012,80.18,80.4043,96944429,$80.92 ,$79.76 
6/6/2012,81.11,81.6371,100135800,$81.98 ,$80.79 
6/7/2012,82.47,81.6743,94916808,$82.47 ,$81.50 
6/8/2012,81.66,82.9028,86587996,$82.94 ,$81.29 
6/11/2012,83.96,81.5957,147605824,$84.07 ,$81.52 
6/12/2012,82.07,82.3085,108784723,$82.37 ,$80.96 
6/13/2012,82.07,81.7371,73380042,$82.64 ,$81.48 
6/14/2012,81.61,81.6471,86325986,$81.93 ,$81.04 
6/15/2012,81.57,82.0185,83596545,$82.09 ,$81.36 
6/18/2012,81.57,83.6828,109922713,$83.98 ,$81.48 
6/19/2012,83.34,83.9157,90239127,$84.29 ,$83.30 
6/20/2012,84.03,83.6773,89706357,$84.18 ,$82.97 
6/21/2012,83.63,82.5243,81511944,$84.03 ,$82.49 
6/22/2012,82.72,83.1571,70792001,$83.17 ,$82.20 
6/25/2012,82.47,81.5378,75963043,$82.83 ,$81.48 
6/26/2012,81.62,81.7178,69124972,$82.07 ,$81.05 
6/27/2012,82.14,82.0714,50737114,$82.39 ,$81.70 
6/28/2012,81.67,81.2928,70572061,$82 ,$80.80 
6/29/2012,82.57,83.4285,105131912,$83.43 ,$82.04 
7/2/2012,83.53,84.6457,99806940,$84.78 ,$83.37 
7/3/2012,84.98,85.63,60428183,$85.71 ,$84.86 
7/5/2012,85.79,87.1343,120978516,$87.76 ,$85.66 
7/6/2012,86.73,86.5543,104693151,$86.92 ,$85.94 
7/9/2012,86.47,87.6985,94701768,$87.70 ,$86.30 
7/10/2012,88.28,86.8871,127763688,$88.55 ,$86.47 
7/11/2012,86.59,86.3471,117068665,$86.81 ,$85.32 
7/12/2012,85.75,85.5571,106873442,$86.21 ,$84.67 
7/13/2012,86.14,86.4243,77827633,$86.74 ,$85.71 
7/16/2012,86.45,86.7014,75263813,$87.37 ,$86.43 
7/17/2012,87.26,86.7057,73378782,$87.36 ,$86.16 
7/18/2012,86.66,86.6085,62685509,$86.91 ,$86.22 
7/19/2012,87.33,87.76,108981913,$87.91 ,$86.57 
7/20/2012,87.58,86.3285,99227200,$87.78 ,$86.24 
7/23/2012,84.91,86.2614,121642186,$86.56 ,$83.96 
7/24/2012,86.77,85.8457,137351661,$87.10 ,$85.50 
7/25/2012,82.07,82.1385,219211506,$82.97 ,$81.43 
7/26/2012,82.82,82.1257,101611050,$82.91 ,$81.48 
7/27/2012,82.14,83.5943,100956620,$83.69 ,$81.66 
7/30/2012,84.42,85.0043,94626868,$85.63 ,$83.97 
7/31/2012,86.18,87.2514,115373055,$87.39 ,$86.10 
8/1/2012,87.99,86.6871,96002719,$88.06 ,$86.14 
